id,time,temperature,humidity,pressure,light_intensity,min_wind_direction,max_wind_direction,avg_wind_direction,min_wind_speed,max_wind_speed,avg_wind_speed,accum_rainfall,accum_rainfall_duration,rainfall_intensity,max_rainfall_intensity,heating_temperature,dumping_of_state,pm2_5,pm10
41,1681593200073163264,21.030000687,12.31000042,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,2,12
42,1681593211121358336,21.040000916,12.319999695,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,3,8
43,1681593222168798208,21.049999237,12.319999695,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,2,2
44,1681593233215775232,21.049999237,12.270000458,79510,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,1,1
45,1681593244262688768,21.030000687,12.279999733,79510,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,1,1
46,1681593255309734400,21.049999237,12.279999733,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.290000915527344,0,2,7
47,1681593267357571072,21.040000916,12.300000191,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,2,7
48,1681593278406724352,21.049999237,12.279999733,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
49,1681593289454241024,21.040000916,12.25,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
50,1681593300502691840,21.030000687,12.350000381,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
51,1681593311552888576,21.049999237,12.25,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,1,1
52,1681593322600354304,21.079999924,12.279999733,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,1,1
53,1681593333649738496,21.040000916,12.31000042,79510,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
54,1681593344699817728,21.040000916,12.319999695,79510,370,0,13.003000259399414,13.003000259399414,13.0030002594,13.0030002594,13.0030002594,13.0030002594,13.003000259399414,13.003000259399414,13.003000259399414,13.003000259399414,13.0030002593994,13.003000259,2
55,1681593355748716288,21.040000916,12.25,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,1,2
56,1681593367798152960,21.049999237,12.329999924,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,1,6
57,1681593379846852608,21.049999237,12.31000042,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,1,6
58,1681593390896035328,21.049999237,12.329999924,79490,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,1,1
59,1681593401944837888,21.030000687,12.329999924,79490,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,1,1
60,1681593412996289280,21.049999237,12.279999733,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
61,1681593424045844992,21.040000916,12.279999733,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,3,2
62,1681593435096495616,21.040000916,12.329999924,79510,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,1,2
63,1681593446145168384,21.049999237,12.319999695,79490,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,1,1
64,1681593457195995136,21.049999237,12.279999733,79490,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,0,0
65,1681593468245577984,21.049999237,12.300000191,79490,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,1,1
66,1681593479298212864,21.069999695,12.25,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
67,1681593490349526528,21.040000916,12.270000458,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,1,1
